사업명,지원대상,지원내용,신청방법,사업종료일,출처,상세링크,AI_학습용_데이터
청년중독예방관리,만 15세 ~ 34세,"중독예방 캠페인 및 교육․홍보, 청소년 중독 인식개선,지역자원과 연계한 고위험군 발굴․개입(검사, 초기상담, 치료연계 등),청년중독 조기선별 및 사례관리, 중독 프로그램, 재활기관 연계,중독자 자조모임 및 가족지원 등
 - 서구중독관리통합지원센터에 신청",서구중독관리통합지원센터에 신청,내용 없음,청년정책(API),http://www.dsracc.or.kr/,청년중독예방관리 만 15세 34세 중독예방 캠페인 및 교육홍보 청소년 중독 인식개선지역자원과 연계한 고위험군 발굴개입검사 초기상담 치료연계 등청년중독 조기선별 및 사례관리 중독 프로그램 재활기관 연계중독자 자조모임 및 가족지원 등 서구중독관리통합지원센터에 신청
청년정신건강지원(마인드링크),만 15세 ~ 34세,"지역사회 인식향상 및 고위험군 발굴,청년 정신건강문제 선별 및 평가,조기중재 프로그램 개발･운영,사례관리 및 위기중재,동료 및 실무자 지원
 - 참여요건 : 정신증 고위험군이나 초발정신 질환자 또는 정신건강 평가 및 상담이 필요한 대상자",사이트 접속 후 필요 서비스 신청,내용 없음,청년정책(API),http://www.mindlink.or.kr/,청년정신건강지원마인드링크 만 15세 34세 지역사회 인식향상 및 고위험군 발굴청년 정신건강문제 선별 및 평가조기중재 프로그램 개발운영사례관리 및 위기중재동료 및 실무자 지원 참여요건 정신증 고위험군이나 초발정신 질환자 또는 정신건강 평가 및 상담이 필요한 대상자
광주형 대중교통비 지원(광주G-패스),만 0세 ~ 0세,"(대상 대중교통) 광주광역시 도시철도, 시내버스, 좌석버스, 마을버스
(어린이, 청소년) 기존 어린이/청소년용 교통카드 그대로 사용
(성인) K-패스 가입 및 등록 후 월 15회 이상 사용 (*25.1.월부터 일 최대 2회까지 인정)
* 1카드로 여러 명이 탑승 시 1명만 지원 (1인 1카드 지원)","- K-패스 카드가 없는 경우 13개 카드사에서 K-패스를 발급하고 K-패스 홈페이지 또는 앱에서 회원가입
＊ (카드발급) 신한, 하나, 우리, 현대, 삼성, BC(BC바로, 케이뱅크, 기업, 광주), KB국민, NH농협,
이동의즐거움(모바일이즐, 카카오페이), DGB유페이, 롯데, 레일플러스, BC(IM뱅크), KB국민(카카오뱅크), 이즐(네이버페이)
＊ K-패스 홈페이지 회원가입 및 등록을 하지 않은 경우 환급을 받을 수 없으니 카드 발급 후 반드시 등록하시기 바랍니다.

- K-패스 카드 발급 및 등록이 완료 된 후 매월 15회 이상(1일 최대 2회까지 인정) 대중교통을 이용하면 최대 60회까지 지출 금액의 일정 비율을 다음 달에 돌려받습니다.
＊청년(19~39세) 30%, 일반(40~64세) 20%, 어르신(65세 이상) 50%, 저소득 (기초생활수급자, 차상위) 64%

- 현재 K-패스를 사용 중인 광주시민은 별도의 추가 절차 없이 월 15회 이상(1일 최대 2회까지 인정) 이용 시 자동으로 광주G-패스 추가 지원을 받으실 수 있습니다.
- 이용 및 적립내역 등 자세한 사항은 K-패스 홈페이지 또는 앱에서 확인할 수 있습니다.",내용 없음,청년정책(API),,광주형 대중교통비 지원광주패스 만 0세 0세 대상 대중교통 광주광역시 도시철도 시내버스 좌석버스 마을버스 어린이 청소년 기존 어린이청소년용 교통카드 그대로 사용 성인 패스 가입 및 등록 후 월 15회 이상 사용 251월부터 일 최대 2회까지 인정 1카드로 여러 명이 탑승 시 1명만 지원 1인 1카드 지원
산단 노동자 작업복세탁소 운영,만 0세 ~ 0세,"하남산단을 거점으로 인근산단 및 광주광역시 산단노동자에게 작업복 세탁서비스 제공
- 산단 노동자 작업복 세탁(수거, 세탁, 수선, 배송 등)","업체에서 작업복세탁소에 서비스 신청
- 전화 : 광클리닝사업 담당자 / 062-951-1635 
- 사업장 : 광주광역시 광산구 하남산단4번로 65(하남혁신지원센터 내)",내용 없음,청년정책(API),,산단 노동자 작업복세탁소 운영 만 0세 0세 하남산단을 거점으로 인근산단 및 광주광역시 산단노동자에게 작업복 세탁서비스 제공 산단 노동자 작업복 세탁수거 세탁 수선 배송 등
산단노동자 조식지원,만 0세 ~ 0세,"김밥, 샌드위치, 샐러드 등 간편조식 판매
- 간편한 아침한끼(하남산단점) : 광주 광산구 하남산단3번로 133-8(하남근로자 종합복지관 1층)
- 간편한 아침한끼(첨단산단점) : 광주 북구 첨단과기로 333(광주테크노파크 1층)",조식지원 장소 방문 및 이용,내용 없음,청년정책(API),,산단노동자 조식지원 만 0세 0세 김밥 샌드위치 샐러드 등 간편조식 판매 간편한 아침한끼하남산단점 광주 광산구 하남산단3번로 1338하남근로자 종합복지관 1층 간편한 아침한끼첨단산단점 광주 북구 첨단과기로 333광주테크노파크 1층
은둔형 외톨이 지원센터 운영,만 0세 ~ 0세,"지원대상 발굴 및 연계‧협력, 정보제공, 치유활동, 인력양성 등
 ㅇ 은둔‧고립 당사자의 사회복귀를 위한 다양한 프로그램 운영
 ㅇ 은둔 당사자 및 가족을 위한 교육, 자조모임 운영
 ㅇ 은둔자들에 대한 사회적 편견 등 해소를 위한 홍보 활동",,내용 없음,청년정책(API),https://gjtory.kr/,은둔형 외톨이 지원센터 운영 만 0세 0세 지원대상 발굴 및 연계협력 정보제공 치유활동 인력양성 등 은둔고립 당사자의 사회복귀를 위한 다양한 프로그램 운영 은둔 당사자 및 가족을 위한 교육 자조모임 운영 은둔자들에 대한 사회적 편견 등 해소를 위한 홍보 활동
자립준비청년 자립정착금,만 18세 ~ 18세,아동양육시설 퇴소 및 가정위탁 종료 시 자립에 필요한 주거공간 및 생활용품 구입비용 지원 (1회 10백만원),아동양육시설장에서 신청,내용 없음,청년정책(API),,자립준비청년 자립정착금 만 18세 18세 아동양육시설 퇴소 및 가정위탁 종료 시 자립에 필요한 주거공간 및 생활용품 구입비용 지원 1회 10백만원
대구 의료관광 글로벌 마케터 육성 지원사업,만 19세 ~ 39세,"대구 소재 외국인환자 유치기관 취업 청년을 대상으로 1인당 월 200만원 수준의 인건비를 지원하고 직무교육, 자기개발을 지원하여 외국인환자 유치기관 근무 청년의 지역 정착과 의료관광산업 활성화에 기여",신청마감,내용 없음,청년정책(API),,대구 의료관광 글로벌 마케터 육성 지원사업 만 19세 39세 대구 소재 외국인환자 유치기관 취업 청년을 대상으로 1인당 월 200만원 수준의 인건비를 지원하고 직무교육 자기개발을 지원하여 외국인환자 유치기관 근무 청년의 지역 정착과 의료관광산업 활성화에 기여
광주청년드림은행(청년재무상담소),만 19세 ~ 39세,"
1:1 재무관리 상담을 통한 재무상태 진단 및 채무조정 지원 등

재무관리 상담 : 신용 및 부채 상담과 더불어 당장에 문제가 없더라도 현재 재무상태를 진단하고 앞으로의 현명한 경제생활을 위한 솔루션을 제공
- 1차 상담 [인터뷰] 약 1시간 30분 / 2차 상담 [솔루션 실행 계획 수립] 약 1시간 30분

(비금전) 재무관리상담, 신용회복기관 및 학자금대출 신용유의자 지원 사업 연계, 소모임․교육 등
(금 전) 재무관리 상담자 중 심사를 통한 연체예방지원금 지원(1인당 100만원/ 2회 분할)","광주청년드림은행(청년재무상담소)은 다양한 신청 방법을 제공합니다.

○ 인터넷 접수 : 광주청년통합플랫폼 - 복지드림 - 광주청년드림은행(청년재무상담소) - 지원정책 신청하기 클릭(회원가입이 불가능한 경우 하단 신청사이트 주소(https://apply.do/ueQu)를 통해 인터넷 접수)
○ 전화접수 : 062-521-2567
○ 카카오톡 : 하단 참고 사이트 2번",내용 없음,청년정책(API),https://apply.do/ueQu,광주청년드림은행청년재무상담소 만 19세 39세 11 재무관리 상담을 통한 재무상태 진단 및 채무조정 지원 등 재무관리 상담 신용 및 부채 상담과 더불어 당장에 문제가 없더라도 현재 재무상태를 진단하고 앞으로의 현명한 경제생활을 위한 솔루션을 제공 1차 상담 인터뷰 약 1시간 30분 2차 상담 솔루션 실행 계획 수립 약 1시간 30분 비금전 재무관리상담 신용회복기관 및 학자금대출 신용유의자 지원 사업 연계 소모임교육 등 금 전 재무관리 상담자 중 심사를 통한 연체예방지원금 지원1인당 100만원 2회 분할
도시재생 전문인력 양성사업 지원,만 0세 ~ 0세,"광주대학교 일반대학원 도시재생·부동산학과를 신설 및 운영
융․복합적 소양을 갖춘 도시재생 핵심 전문인력 양성 
    - 대학 도시재생 전공과목 신설 및 운영지원
    - 도시재생 전공과목과 우리 시 도시재생사업 현장실무 융합","인터넷접수 : 대학원 홈페이지 원서접수 바로가기 클릭 → 입학원서 입력 및 첨부파일 업로드 후 저장 → 전형료 입금 (인터넷 접수 후 첨부 누락된 증빙서류는 등기 발송 또는 방문 제출)
방문 및 우편 접수 : 광주광역시 남구 효덕로 277 광주대학교 대학원 교학팀(호심관4층) 주말, 공휴일, 점심시간(12:00~13:00) 제외",내용 없음,청년정책(API),,도시재생 전문인력 양성사업 지원 만 0세 0세 광주대학교 일반대학원 도시재생부동산학과를 신설 및 운영 융복합적 소양을 갖춘 도시재생 핵심 전문인력 양성 대학 도시재생 전공과목 신설 및 운영지원 도시재생 전공과목과 우리 시 도시재생사업 현장실무 융합
청년 귀환 채널구축 사업(고향올래),만 19세 ~ 39세,"○ 대구 청년 정책 홍보 및 타지역 청년 유입 경로별 활동 프로그램 운영
  - 온라인 홍보 플랫폼 운영 및 오프라인 홍보 사업설명회 개최
  - 대구 한달살기, 유입 경로별(로컬벤처창업·취업·프리랜서) 지원 프로그램 운영
     · (로컬벤처)창업교육, 시제품 개발비, 사업화자금 등 지원(3기/60명)
     · (취    업)대구 기업 채용박람회 참여실비 지원(100명), 대구 기업견학(20명)
     · (프리랜서) 지역기업 매칭 및 프로젝트 참여 지원(20명)
     · (한달살기)주거․활동 공간, 지역탐방, 로컬크리에이터 교육 지원(5기/100명)
○ 유관기관 연계하여 프로그램 참여 후 지역 정착을 위한 후속 지원
    - 주거공간(한국산업단지공단 공유사택), 창업공간(iM뱅크 유니콘랩) 지원",프로그램별 별도 접수(홈페이지 참조),내용 없음,청년정책(API),https://dgtp.or.kr/dgtp.do,청년 귀환 채널구축 사업고향올래 만 19세 39세 대구 청년 정책 홍보 및 타지역 청년 유입 경로별 활동 프로그램 운영 온라인 홍보 플랫폼 운영 및 오프라인 홍보 사업설명회 개최 대구 한달살기 유입 경로별로컬벤처창업취업프리랜서 지원 프로그램 운영 로컬벤처창업교육 시제품 개발비 사업화자금 등 지원3기60명 취 업대구 기업 채용박람회 참여실비 지원100명 대구 기업견학20명 프리랜서 지역기업 매칭 및 프로젝트 참여 지원20명 한달살기주거활동 공간 지역탐방 로컬크리에이터 교육 지원5기100명 유관기관 연계하여 프로그램 참여 후 지역 정착을 위한 후속 지원 주거공간한국산업단지공단 공유사택 창업공간뱅크 유니콘랩 지원
전남 청년 근속장려금,만 18세 ~ 45세,"취업장려금, 고용유지금, 근속장려금 등 4년간 최대 2,000만원 지원","    ① 신청서류 접수(시·군)
    ② 자격요건 확인 및 대상자 확정(시·군)
    ③ 지급신청서 제출 및 인건비 지원",내용 없음,청년정책(API),,전남 청년 근속장려금 만 18세 45세 취업장려금 고용유지금 근속장려금 등 4년간 최대 2000만원 지원
글로벌 이노베이터 페스타 사업 지원,만 0세 ~ 0세,"   ❍ 대 회 명 : 「2025 글로벌 창업 아이디어 경진대회」
   ❍ 기    간 : ’25. 6월 ~ 10월 
   ❍ 공모분야 : 5대 미래 신산업 분야 글로벌 수준의 혁신형 사업화 아이디어
   ❍ 참가대상 : 예비창업자 및 창업 후 7년 이내 창업기업
   ❍ 공모부문 : 2개 부문(예비창업자/스타트업)
   ❍ 시상규모 : 총 10팀(부문별 5팀)/총상금 50,000천원
      - 예비창업자 리그 : 대상 1(중기부장관상, 10,000천), 최우수 1(시장상, 4,000천원)
                                 우수 1(시장상, 2,000천원), 장려 2(시장상, 1,000천원)
      - 스타트업 리그 : 대상 1(중기부장관상, 15,000천), 최우수 1(시장상, 10,000천원)
                               우수 1(시장상, 5,000천원), 장려 2(시장상, 1,000천원)",홈페이지 온라인 접수,내용 없음,청년정책(API),https://startup.daegu.go.kr/index.do?menu_id=00002552&menu_link=/front/project/projectFrontDetail.do?project_id=PROJECT_00004343,글로벌 이노베이터 페스타 사업 지원 만 0세 0세 대 회 명 2025 글로벌 창업 아이디어 경진대회 기 간 25 6월 10월 공모분야 5대 미래 신산업 분야 글로벌 수준의 혁신형 사업화 아이디어 참가대상 예비창업자 및 창업 후 7년 이내 창업기업 공모부문 2개 부문예비창업자스타트업 시상규모 총 10팀부문별 5팀총상금 50000천원 예비창업자 리그 대상 1중기부장관상 10000천 최우수 1시장상 4000천원 우수 1시장상 2000천원 장려 2시장상 1000천원 스타트업 리그 대상 1중기부장관상 15000천 최우수 1시장상 10000천원 우수 1시장상 5000천원 장려 2시장상 1000천원
청년농업인 맞춤형 영농기반 조성(시범사업),만 18세 ~ 45세,"청년농업인 영농정착 기반 형성 및 복합영농 기술 지원
   - ICT 활용 환경제어 시스템, 다품목 재배 영농기반 조성, 교육·체험시설 등

 ㅇ 청년농업인 영농정착을 위한 필요 장비 및 시설 지원
 ㅇ 재배작물 연계한 육묘 온실·가공·유통 기자재 설치로 신소득 창출
 ㅇ 휴작기간 유휴시설 개선 및 장비 보강을 위한 다품목 재배 안정화"," ○ 방문 및 이메일 신청 접수 
  - 농업기술센터 해당 사업팀    
 - 각 지역 농업인상담소(방문신청만 가능)",내용 없음,청년정책(API),https://www.gwangju.go.kr/agri/,청년농업인 맞춤형 영농기반 조성시범사업 만 18세 45세 청년농업인 영농정착 기반 형성 및 복합영농 기술 지원 활용 환경제어 시스템 다품목 재배 영농기반 조성 교육체험시설 등 청년농업인 영농정착을 위한 필요 장비 및 시설 지원 재배작물 연계한 육묘 온실가공유통 기자재 설치로 신소득 창출 휴작기간 유휴시설 개선 및 장비 보강을 위한 다품목 재배 안정화
대구 경북 청년 아카데미,만 19세 ~ 39세,"- (사업내용) 시대의 변화에 대응하는 청년리더 역량강화 프로그램  
   * 경제,사회,법률등 각 분야 전문가 강의, 토크콘서트를 통한 교육 
   *  회차별 강연에 대한 참가자들의 리뷰 및 커뮤니티 데이","1차 서면심사
2차 전화면접",내용 없음,청년정책(API),,대구 경북 청년 아카데미 만 19세 39세 사업내용 시대의 변화에 대응하는 청년리더 역량강화 프로그램 경제사회법률등 각 분야 전문가 강의 토크콘서트를 통한 교육 회차별 강연에 대한 참가자들의 리뷰 및 커뮤니티 데이
평생교육이용권[일반·장애인] 지원,만 0세 ~ 0세,"
평생교육강좌 수강료 및 해당 강좌 수강에 필요한 교재비에 사용할 수 있는 평생교육이용권 지원(1인당 35만원)
※ 본인 사용 및 수강 원칙, 교재 단독 구매 및 재료비·유무선 전자·통신기기, 전자교재(PDF, e-book) 등 사용 불가
※ 이용자 준수사항 및 부정사용 관련 사항 확인 필수

(사용기관) 평생교육이용권 사용기관*에서 카드를 결제하여 사용 가능
* 광주평생교육이용권 홈페이지(www.lllcard.kr/gwangju)에 등록된 기관(가맹점) 목록 확인","
[일반] 광주평생교육이용권 홈페이지(www.lllcard.kr/gwangju) 온라인 신청

[장애인] 보조금24 홈페이지 온라인 신청 또는 (재)광주인재평생교육진흥원 방문접수
※ 온라인 신청 시 본인인증(간편인증, 공동인증서, 아이핀, 휴대폰 인증) 절차 필수
※ (장애인) 진흥원 방문접수는 평일 09시 ~ 18시까지

▪필수 기재사항 : 성명, 이메일, 연락처, 개인정보 활용동의 여부
▪필수 첨부서류
[일반] 주민등록등본(주민등록번호 표시), 기초·차상위 확인서류
[장애인] 주민등록등본(주민등록번호 표시), 장애인 확인서류",내용 없음,청년정책(API),https://www.gov.kr/portal/rcvfvrSvc/main/nonLogin,평생교육이용권일반장애인 지원 만 0세 0세 평생교육강좌 수강료 및 해당 강좌 수강에 필요한 교재비에 사용할 수 있는 평생교육이용권 지원1인당 35만원 본인 사용 및 수강 원칙 교재 단독 구매 및 재료비유무선 전자통신기기 전자교재 등 사용 불가 이용자 준수사항 및 부정사용 관련 사항 확인 필수 사용기관 평생교육이용권 사용기관에서 카드를 결제하여 사용 가능 광주평생교육이용권 홈페이지에 등록된 기관가맹점 목록 확인
평생교육이용권[디지털] 지원,만 30세 ~ 99세,"평생교육강좌 수강료 및 해당 강좌 수강에 필요한 교재비에 사용할 수 있는 평생교육이용권 지원(1인당 최대 35만원)
※ 본인 사용 및 수강 원칙, 교재 단독 구매 및 재료비·유무선 전자·통신기기, 전자교재(PDF, e-book) 등 사용 불가
※ 이용자 준수사항 및 부정사용 관련 사항 확인 필수","광주평생교육이용권 누리집(www.lllcard.kr/gwangju) 온라인 신청
※ 온라인 신청 시 본인인증(간편인증, 공동인증서, 아이핀, 휴대폰 인증) 절차 필수",내용 없음,청년정책(API),https://www.lllcard.kr/reg/gwangju/main/mainView.do,평생교육이용권디지털 지원 만 30세 99세 평생교육강좌 수강료 및 해당 강좌 수강에 필요한 교재비에 사용할 수 있는 평생교육이용권 지원1인당 최대 35만원 본인 사용 및 수강 원칙 교재 단독 구매 및 재료비유무선 전자통신기기 전자교재 등 사용 불가 이용자 준수사항 및 부정사용 관련 사항 확인 필수
빛고을장학재단 장학금 지원(25년 상반기),만 0세 ~ 0세,"대학생 200만원, 고등학생 80만원, 중학생 50만원
- 학업장려 장학생 : 178멍(고등학생 85명, 중학생 93명)
- 생계곤란 장학생 : 107명(대학생 41명, 고등학생 66명)
- 지정장학생(직업계고) : 33명","각 추천기관 ⇒ (재)빛고을장학재단
- 공고문 참조",내용 없음,청년정책(API),,빛고을장학재단 장학금 지원25년 상반기 만 0세 0세 대학생 200만원 고등학생 80만원 중학생 50만원 학업장려 장학생 178멍고등학생 85명 중학생 93명 생계곤란 장학생 107명대학생 41명 고등학생 66명 지정장학생직업계고 33명
인공지능융합혁신인재양성 지원,만 0세 ~ 0세,"혁신융합대학원생 대상 AI융합 특화 교육 및 연구 수행
 ㅇ AI 융합 교육
   - Two-Track(X+AI트랙, AI+X트랙)의 단계별 교육과정 운영
   - 헬스케어·모빌리티·에너지 특화분야 융합 교과목 개설
   - 현장중심 실전교육을 위한 산·학 인턴십 실행
 ㅇ AI 융합 연구
   - 교과과목 연계형 산·학 공동 AI 융합 프로젝트 추진",,내용 없음,청년정책(API),,인공지능융합혁신인재양성 지원 만 0세 0세 혁신융합대학원생 대상 융합 특화 교육 및 연구 수행 융합 교육 트랙 트랙의 단계별 교육과정 운영 헬스케어모빌리티에너지 특화분야 융합 교과목 개설 현장중심 실전교육을 위한 산학 인턴십 실행 융합 연구 교과과목 연계형 산학 공동 융합 프로젝트 추진
지역지능화혁신인재양성 지원,만 0세 ~ 0세,"재직자 대상 지역 주력산업의 혁신 교육 및 연구 수행
 ㅇ 혁신인재양성 교육
   - 재직자 대상 석사학위 운영
   - 재직자 및 전일제 대상 교육 프로그램 운영
 ㅇ 지능화 혁신 연구
   - 광주 주요 전략산업인 인공지능(AI+ICT) 융합 연구 수행
 ㅇ 지능화혁신 G5-AICT 연구센터 운영
   - 산학협력형 교육기반 과제 수행 및 연구환경 정립
   - 단기 디지털 역량 향상 프로그램 운영
   - 창의자율과제 운영
   - 해외단기연수 및 해외교육(인턴십) 등 운영
   - 지능화 G5분야 기술지도 및 컨설팅 진행",,내용 없음,청년정책(API),,지역지능화혁신인재양성 지원 만 0세 0세 재직자 대상 지역 주력산업의 혁신 교육 및 연구 수행 혁신인재양성 교육 재직자 대상 석사학위 운영 재직자 및 전일제 대상 교육 프로그램 운영 지능화 혁신 연구 광주 주요 전략산업인 인공지능 융합 연구 수행 지능화혁신 5 연구센터 운영 산학협력형 교육기반 과제 수행 및 연구환경 정립 단기 디지털 역량 향상 프로그램 운영 창의자율과제 운영 해외단기연수 및 해외교육인턴십 등 운영 지능화 5분야 기술지도 및 컨설팅 진행
SW전문인재 양성,만 19세 ~ 29세,"대학의 교육자원 활용 및 기업이 가진 실전 노하우를 전수하여 역량이 검증된 경쟁력 있는 SW 실무인재 양성
- NHN아카데미 광주캠퍼스",NHN아카데미 광주캠퍼스 과정 신청,내용 없음,청년정책(API),,전문인재 양성 만 19세 29세 대학의 교육자원 활용 및 기업이 가진 실전 노하우를 전수하여 역량이 검증된 경쟁력 있는 실무인재 양성 아카데미 광주캠퍼스
SW중심대학 지원,만 0세 ~ 0세,"대학 SW교육 혁신을 통한 SW전문·융합인재 양성
  ○ SW전공·융합교육 및 SW산학교육 추진
  ○ 단과대학 대상 수준별 SW기초교육 추진
  ○ 초·중·고 대상 SW교육 프로그램 운영",전남대학교 산학협력단을 통한 SW 교육 신청,내용 없음,청년정책(API),,중심대학 지원 만 0세 0세 대학 교육 혁신을 통한 전문융합인재 양성 전공융합교육 및 산학교육 추진 단과대학 대상 수준별 기초교육 추진 초중고 대상 교육 프로그램 운영
반도체 특성화 대학 지원,만 0세 ~ 0세,"전남대학교, 전북대학교 학생 대상 우리 시 특화산업(자동차, 광융합, 인공지능)과 연계 활용하여 반도체 산업 인재양성 및 인프라 확장을 통한 반도체 융합 전문 인재 양성
",,내용 없음,청년정책(API),,반도체 특성화 대학 지원 만 0세 0세 전남대학교 전북대학교 학생 대상 우리 시 특화산업자동차 광융합 인공지능과 연계 활용하여 반도체 산업 인재양성 및 인프라 확장을 통한 반도체 융합 전문 인재 양성
정보보호 특성화 대학 지원,만 20세 ~ 30세,"전남대학교 인공지능학부 재학생(3학년~4학년) 대상 
AI기술을 활용한 정보보호 분야(사고대응) 특성화 인재 양성
   - (교육 인프라 구축) 첨단 보안 실습장비, 교육 및 연구 전용공간 구축
   - (정보보호 교육) 전공신설, 교육 커리큘럼 준비 및 교육시행 등
   - (산학 인력양성) 실무교육, 사고대응 실습플랫폼 구축, 인턴십 등"," ㅇ 인공지능 정보보안 전공 모집 (재학 3학년 대상 30명, 4학년 30명)
  - 인공지능 보안 전공 교과과정 운영, 사이버보안 실습 수행",내용 없음,청년정책(API),,정보보호 특성화 대학 지원 만 20세 30세 전남대학교 인공지능학부 재학생3학년4학년 대상 기술을 활용한 정보보호 분야사고대응 특성화 인재 양성 교육 인프라 구축 첨단 보안 실습장비 교육 및 연구 전용공간 구축 정보보호 교육 전공신설 교육 커리큘럼 준비 및 교육시행 등 산학 인력양성 실무교육 사고대응 실습플랫폼 구축 인턴십 등
인공지능대학원 지원,만 0세 ~ 0세,"세계적 수준의 AI 분야 석·박사급 인재 양성
GIST 인공지능대학원 신설 및 운영
    · (AI 융합인재 양성) 석·박사통합, 박사과정 신입생 선발, 첨단 연구분야 소개 및 우수학생 유치를 위한 AI 오픈랩 운영 등
    · (협업 프로그램 운영) 교육 생태계를 통한 협업(AXEL Together), 산·학·관·연 협업(AXEL Triangle), 글로벌 협업(AXEL Beyond) 등","AI 대학원 및 학부 입학, 프로그램 이수",내용 없음,청년정책(API),,인공지능대학원 지원 만 0세 0세 세계적 수준의 분야 석박사급 인재 양성 인공지능대학원 신설 및 운영 융합인재 양성 석박사통합 박사과정 신입생 선발 첨단 연구분야 소개 및 우수학생 유치를 위한 오픈랩 운영 등 협업 프로그램 운영 교육 생태계를 통한 협업 산학관연 협업 글로벌 협업 등
지역ICT이노베이션스퀘어확산사업,만 19세 ~ 39세,ICT 콤플렉스 구축 및 AI 복합교육 운영,,내용 없음,청년정책(API),,지역이노베이션스퀘어확산사업 만 19세 39세 콤플렉스 구축 및 복합교육 운영
대학 ICT연구센터 지원,만 0세 ~ 0세,"블록체인 분야 연구개발을 통한 다학제적 고급인력 양성
 ㅇ 블록체인·융합 기반 사물인터넷(디지털트윈) 기술개발
   - 영지식 증명 및 검증 프로토콜 연구 (초분광 이미지, 화자인증) 
   - 블록체인 플랫폼 지원을 위한 TDN 구성기술 개발 등
   - IoT 환경의 DID기반 접근 제어 방법 연구 등",,내용 없음,청년정책(API),,대학 연구센터 지원 만 0세 0세 블록체인 분야 연구개발을 통한 다학제적 고급인력 양성 블록체인융합 기반 사물인터넷디지털트윈 기술개발 영지식 증명 및 검증 프로토콜 연구 초분광 이미지 화자인증 블록체인 플랫폼 지원을 위한 구성기술 개발 등 환경의 기반 접근 제어 방법 연구 등
주거취약계층 부동산 중개보수 지원,만 0세 ~ 0세,주거취약계층 부동산 중개보수료 지원(30만원이내),광주광역시 소재지 관할 자치구(부동산 담당 부서 및 동 행정복지센터)로 방문,내용 없음,청년정책(API),,주거취약계층 부동산 중개보수 지원 만 0세 0세 주거취약계층 부동산 중개보수료 지원30만원이내
지역인재 이전공공기관 탐방,만 0세 ~ 0세,"이전공공기관 견학, 채용설명회, 멘토링 및 질의응답 등","참여학교 별 모집
- 전남대학교, 조선대학교, 호남대학교, 광주대학교, 조선이공대학교, 숭의과학기술고등학교,  광주공업고등학교, 광주여자상업고등학교, 전남여자상업고등학교, 동일미래과학고등학교",내용 없음,청년정책(API),,지역인재 이전공공기관 탐방 만 0세 0세 이전공공기관 견학 채용설명회 멘토링 및 질의응답 등
광주‧전남 합동 채용설명회,만 19세 ~ 39세,"합동채용설명회 개최(이전공공기관, 지역 대학 등 참가)
   - 채용담당자와 질의답변, 모의면접 시연 및 1:1 컨설팅 등
 프로그램 : 본행사, 이전공공기관 채용상담관, 참여기업 및 기관 홍보관, 모의면접, 취업컨설팅 및 체험관 ","설명회 장소 방문
 - 일시 : 2025. 4. 24.(목) 10:00 ~ 17:00
 - 장소 : 전남대학교 광주캠퍼스 컨벤션홀",내용 없음,청년정책(API),http://2025jobara.com/main/index.html,광주전남 합동 채용설명회 만 19세 39세 합동채용설명회 개최이전공공기관 지역 대학 등 참가 채용담당자와 질의답변 모의면접 시연 및 11 컨설팅 등 프로그램 본행사 이전공공기관 채용상담관 참여기업 및 기관 홍보관 모의면접 취업컨설팅 및 체험관
2025년 군산시 신혼부부 주택 전세자금 대출이자 지원사업,만 0세 ~ 0세,"     전세 임차보증금의 대출잔액 이율(최대 2%) 해당 금액
     세대당 최대 연간 200만원(월 최대 166,670원) 이내로 지원 횟수는 3회(3년)를 초과하지 않음.
     ※ 대출 이율이 2% 미만일 경우 실제 대출금리 적용 ","  접수장소 : 주소지 행정복지센터 방문 신청 접수
  접수방법 : 세대주 본인 및 세대원 방문 접수 

 제외 대상자
   - 국민기초생활보방법 제7조에 따른 급여를 받는 수급자 중 생계·의료·주거급여 수급자
   - 공공주택 특별법 시행령 제2조 각 호의 어느 하나에 해당하는 공공임대(국민임대주택,           영구임대주택, 장기전세주택, 행복주택, 매입임대주택, 전세임대주택 등) 거주자
   - 불법건축물에 거주하는 경우
   - 주택공급에 관한 규칙 제2조제7호에 따라 “당첨자(분양권 등)”에 해당하는 경우
   -그 밖에 시장이 정하는 기준에 해당하지 않을 경우",내용 없음,청년정책(API),,2025년 군산시 신혼부부 주택 전세자금 대출이자 지원사업 만 0세 0세 전세 임차보증금의 대출잔액 이율최대 2 해당 금액 세대당 최대 연간 200만원월 최대 166670원 이내로 지원 횟수는 3회3년를 초과하지 않음 대출 이율이 2 미만일 경우 실제 대출금리 적용
